	x		sin(x)*cos(c)		sin'(x)
	      1.93		      0.11		      0.50
	      1.94		      0.11		      0.50
	      1.95		      0.12		      0.50
	      1.96		      0.12		      0.50
	      1.97		      0.13		      0.50
	      1.98		      0.13		      0.50
	      1.99		      0.14		      0.50
	      2.00		      0.14		      0.49
	      2.01		      0.15		      0.49
	      2.02		      0.15		      0.48
	      2.03		      0.16		      0.48
	      2.04		      0.16		      0.47
	      2.05		      0.17		      0.47
	      2.06		      0.17		      0.46
	      2.07		      0.18		      0.45
	      2.08		      0.18		      0.44
	      2.09		      0.19		      0.43
	      2.10		      0.19		      0.42
	      2.11		      0.19		      0.41
	      2.12		      0.20		      0.40
	      2.13		      0.20		      0.39
	      2.14		      0.21		      0.37
	      2.15		      0.21		      0.36
	      2.16		      0.21		      0.35
	      2.17		      0.22		      0.33
	      2.18		      0.22		      0.32
	      2.19		      0.22		      0.30
	      2.20		      0.23		      0.28
	      2.21		      0.23		      0.27
	      2.22		      0.23		      0.25
	      2.23		      0.23		      0.23
	      2.24		      0.24		      0.22
	      2.25		      0.24		      0.20
	      2.26		      0.24		      0.18
	      2.27		      0.24		      0.16
	      2.28		      0.24		      0.14
	      2.29		      0.25		      0.12
	      2.30		      0.25		      0.10
	      2.31		      0.25		      0.08
	      2.32		      0.25		      0.06
	      2.33		      0.25		      0.04
	      2.34		      0.25		      0.02
	      2.35		      0.25		      0.00
	      2.36		      0.25		     -0.02
	      2.37		      0.25		     -0.04
	      2.38		      0.25		     -0.06
	      2.39		      0.25		     -0.08
	      2.40		      0.25		     -0.10
	      2.41		      0.25		     -0.12
	      2.42		      0.25		     -0.14
	      2.43		      0.24		     -0.15
	      2.44		      0.24		     -0.17
	      2.45		      0.24		     -0.19
	      2.46		      0.24		     -0.21
	      2.47		      0.24		     -0.23
	      2.48		      0.23		     -0.25
	      2.49		      0.23		     -0.26
	      2.50		      0.23		     -0.28
	      2.51		      0.23		     -0.30
	      2.52		      0.22		     -0.31
	      2.53		      0.22		     -0.33
	      2.54		      0.22		     -0.34
	      2.55		      0.21		     -0.36
	      2.56		      0.21		     -0.37
	      2.57		      0.21		     -0.38
	      2.58		      0.20		     -0.40
	      2.59		      0.20		     -0.41
	      2.60		      0.20		     -0.42
	      2.61		      0.19		     -0.43
	      2.62		      0.19		     -0.44
	      2.63		      0.18		     -0.45
	      2.64		      0.18		     -0.46
	      2.65		      0.17		     -0.47
	      2.66		      0.17		     -0.47
	      2.67		      0.16		     -0.48
	      2.68		      0.16		     -0.48
	      2.69		      0.15		     -0.49
	      2.70		      0.15		     -0.49
	      2.71		      0.14		     -0.50
	      2.72		      0.14		     -0.50
	      2.73		      0.13		     -0.50
	      2.74		      0.13		     -0.50
	      2.75		      0.12		     -0.50
	      2.76		      0.12		     -0.50
	      2.77		      0.11		     -0.50
	      2.78		      0.11		     -0.49
	      2.79		      0.10		     -0.49
	      2.80		      0.10		     -0.49
	      2.81		      0.09		     -0.48
	      2.82		      0.09		     -0.48
	      2.83		      0.09		     -0.47
	      2.84		      0.08		     -0.46
	      2.85		      0.08		     -0.46
	      2.86		      0.07		     -0.45
	      2.87		      0.07		     -0.44
	      2.88		      0.06		     -0.43
	      2.89		      0.06		     -0.42
	      2.90		      0.05		     -0.41
	      2.91		      0.05		     -0.39
	      2.92		      0.05		     -0.38
	      2.93		      0.04		     -0.37
	      2.94		      0.04		     -0.35
	      2.95		      0.03		     -0.34
	      2.96		      0.03		     -0.32
	      2.97		      0.03		     -0.31
	      2.98		      0.03		     -0.29
